,Tarih,Çalışma Grubu,İstasyon Adı,Sağlam(dz),Miktar (kg.),Ürün Grubu,Model Ad,Yıl,Hafta
224,2023-02-07,GECE,A0035,14.08,4.83,Kısa Konç,KISAKONC,2023,6
225,2023-01-26,GÜNDÜZ,A0002,8.0,2.73,Soket,ÇİÇEKLI,2023,4
226,2023-01-08,GÜNDÜZ,A0016,28.17,9.11,Kısa Konç,BRK-2,2023,1
227,2023-01-08,GÜNDÜZ,A0004,5.5,2.15,Soket,TEK  PAPTYA,2023,1
228,2023-01-30,GÜNDÜZ,A0013,11.42,3.88,Patik,CODE 3P.XX SHORT,2023,5
229,2023-02-22,GÜNDÜZ,A0023,4.58,1.17,Patik,KAMUFLAJ PATIK,2023,8
230,2023-02-22,GÜNDÜZ,A0006,10.0,0.0,Kısa Konç,TAM HAVLU KISA SOKET,2023,8
231,2023-01-12,GECE,A0002,11.83,4.53,Soket,FLORAL ANKLE,2023,2
232,2023-01-19,GÜNDÜZ,A0017,12.0,0.0,Patik,BAYAN SIMLI KARELI  PATIK,2023,3
233,2023-02-13,GÜNDÜZ,A0031,9.67,1.67,Babet,BUYUK  YILDIZ BABET,2023,7
234,2023-01-12,GECE,A0003,11.67,4.12,Soket,3 LU DERBILI PURPLE/PINK,2023,2
235,2023-01-09,GÜNDÜZ,A0031,9.25,1.73,Babet,3PK LOW CUT NO SHOW SOCKS,2023,2
236,2023-02-01,GÜNDÜZ,,0.0,0.0,,,2023,5
237,2023-02-09,GECE,A0022,15.0,3.18,Patik,2023-2,2023,6
238,2023-01-26,GÜNDÜZ,A0005,22.08,11.19,Soket,3P-TENİS HAVLU,2023,4
239,2023-01-30,GECE,A0035,17.0,5.18,Patik,CODE 3P.XX SHORT,2023,5
240,2023-01-31,GECE,A0027,15.5,4.83,Kısa Konç,KISAKONC,2023,5
241,2023-01-13,GÜNDÜZ,A0035,7.0,2.73,Soket,TEK ARI,2023,2
242,2023-01-16,GÜNDÜZ,A0001,7.42,2.71,Soket,DALGA DESEN,2023,3
243,2023-01-13,GECE,A0006,6.0,0.0,Patik,CARERA PATİK,2023,2
244,2023-02-10,GECE,A0020,16.25,6.0,Soket,CEMBERLI SOKET,2023,6
245,2023-01-08,GÜNDÜZ,A0033,9.08,3.63,Soket,DENIZ MAHSULLERİ,2023,1
246,2023-01-22,GECE,A0011,24.08,5.67,Patik,2023-2,2023,3
247,2023-01-31,GÜNDÜZ,A0016,10.5,3.64,Kısa Konç,KISAKONC,2023,5
248,2023-02-13,GECE,A0017,15.0,0.0,Kısa Konç,DERBILI CEMBERLİ,2023,7
249,2023-01-07,GECE,A0022,26.33,9.58,Soket,2023-1,2023,1
250,2023-01-27,GECE,A0016,14.67,5.19,Kısa Konç,KISAKONC,2023,4
251,2023-01-10,GECE,A0031,13.75,2.58,Babet,3PK LOW CUT NO SHOW SOCKS,2023,2
252,2023-01-23,GÜNDÜZ,A0021,12.33,3.2,Patik,CODE 3P.XX SHORT,2023,4
253,2023-01-15,GÜNDÜZ,A0027,22.75,7.29,Soket,MANTAR DESEN,2023,2
254,2023-01-11,GÜNDÜZ,A0010,8.92,2.96,Soket,DALMACYA RENKLI,2023,2
255,2023-01-25,GECE,A0016,14.92,4.73,Patik,CODE 3P.XX SHORT,2023,4
256,2023-01-15,GÜNDÜZ,A0015,26.17,9.37,Soket,2023-1,2023,2
257,2023-01-29,GECE,A0009,25.33,7.68,Kısa Konç,KISAKONC,2023,4
258,2023-02-10,GECE,A0027,19.75,6.97,Soket,PUNALI SOKET,2023,6
259,2023-02-12,GECE,A0031,23.83,4.15,Babet,BUYUK  YILDIZ BABET,2023,6
260,2023-02-20,GÜNDÜZ,A0014,10.67,3.36,Patik,CODE 3P.XX SHORT,2023,8
261,2023-01-12,GECE,A0034,14.0,0.0,Patik,CARERA PATİK,2023,2
262,2023-01-30,GECE,A0011,13.25,2.26,Babet,2023-3,2023,5
263,2023-01-04,GECE,A0003,31.75,11.27,Soket,3 LU DERBILI PURPLE/PINK,2023,1
264,2023-01-23,GECE,A0002,13.17,4.59,Soket,ÇİÇEKLI,2023,4
265,2023-01-09,GECE,A0023,15.67,5.62,Soket,2023-1,2023,2
266,2023-01-05,GÜNDÜZ,A0031,11.17,1.4,Babet,3PK LOW CUT NO SHOW SOCKS,2023,1
267,2023-01-09,GECE,A0030,10.08,3.55,Soket,POLKA DOTA ANKLE BLUE,2023,2
268,2023-02-08,GÜNDÜZ,A0028,7.75,2.68,Soket,PUNALI SOKET,2023,6
269,2023-01-18,GÜNDÜZ,A0036,3.42,1.58,Soket,KÜÇÜK  KALP,2023,3
270,2023-01-26,GÜNDÜZ,A0001,10.75,3.06,Kısa Konç,KISAKONC,2023,4
271,2023-02-09,GECE,A0026,3.0,0.0,Patik,KARE SIMLI PATİK,2023,6
272,2023-02-14,GÜNDÜZ,A0033,9.42,1.65,Babet,ZIGZAG   BABET,2023,7
273,2023-01-02,GECE,A0021,11.58,4.23,Soket,FLORAL ANKLE,2023,1
274,2023-01-04,GECE,A0012,16.58,6.23,Soket,3 LU DERBI CEMBERLI ,2023,1
275,2023-02-21,GECE,A0015,15.08,4.77,Patik,CODE 3P.XX SHORT,2023,8
276,2023-01-06,GÜNDÜZ,A0010,8.83,2.81,Soket,FOX  SAKES,2023,1
