Tarih,Çalışma Grubu,İstasyon Adı,Model Ad,Sağlam(dz),Miktar (kg.),Ürün Grubu
 20.Feb.2023,GECE,A0036,3P-TENİS HAVLU,21.08,11.120,SOKET TENİS
 20.Feb.2023,GÜNDÜZ,A0014,CODE 3P.XX SHORT,10.67,3.360,PATİK
 20.Feb.2023,GECE,A0026,KOPEK PATİK,9.00,0.000,BAYAN PATİK
 20.Feb.2023,GECE,A0009,KABARTMA EKOSE,16.00,3.560,BAYAN PATİK
 20.Feb.2023,GECE,A0026,KOPEK PATİK,15.00,0.000,BAYAN PATİK
 20.Feb.2023,GECE,A0035,CODE 3P.XX SHORT,28.08,8.670,PATİK
 20.Feb.2023,GECE,A0027,PUNALI SOKET,20.75,7.530,BAYAN SOKET
 20.Feb.2023,GECE,A0010,CODE 3P.XX SHORT,30.17,7.650,PATİK
 20.Feb.2023,GECE,A0014,CODE 3P.XX SHORT,15.67,4.930,PATİK
 20.Feb.2023,GECE,A0011,KALPLI   BABET,2.83,0.490,ÇETİK
 20.Feb.2023,GECE,A0011,2023-3,10.50,1.790,BAYAN BAMBU BABET
 20.Feb.2023,GÜNDÜZ,A0030,KALPLI SOKET,5.25,1.820,BAYAN SOKET
 20.Feb.2023,GECE,A0008,3P-TENİS HAVLU,12.33,6.590,SOKET TENİS
 17.Feb.2023,GECE,A0032,3P-TENİS HAVLU,13.08,6.910,SOKET TENİS
 17.Feb.2023,GECE,A0005,3P-TENİS HAVLU,11.42,5.970,SOKET TENİS
 17.Feb.2023,GÜNDÜZ,A0018,DERBILI NOKTALI,10.00,0.000,BAYAN PATİK
 17.Feb.2023,GECE,A0030,KALPLI SOKET,11.25,4.240,BAYAN SOKET
 17.Feb.2023,GECE,A0029,PUNALI SOKET,10.92,4.400,BAYAN SOKET
 17.Feb.2023,GÜNDÜZ,A0001,KALPLI SOKET,7.33,2.590,BAYAN SOKET
 17.Feb.2023,GÜNDÜZ,A0028,PUNALI SOKET,7.50,2.950,BAYAN SOKET
 17.Feb.2023,GECE,A0019,TEK NOKTA PATİK,0.83,0.000,BAYAN PATİK
 17.Feb.2023,GECE,A0009,KABARTMA EKOSE,14.58,3.060,BAYAN PATİK
 17.Feb.2023,GECE,A0001,KALPLI SOKET,11.92,4.260,BAYAN SOKET
 17.Feb.2023,GÜNDÜZ,A0016,CODE 3P.XX SHORT,10.50,3.220,PATİK
 17.Feb.2023,GECE,A0025,CARERA PATİK,12.00,0.000,ERKEK PATİK
 17.Feb.2023,GÜNDÜZ,A0009,TEK NOKTA PATİK,10.83,2.260,BAYAN PATİK
 17.Feb.2023,GÜNDÜZ,A0007,2023-3,11.67,1.950,BAYAN BAMBU BABET
 17.Feb.2023,GECE,A0020,CEMBERLI SOKET,12.75,4.690,BAYAN SOKET
 17.Feb.2023,GÜNDÜZ,A0001,KALPLI SOKET,0.08,0.001,BAYAN SOKET
 17.Feb.2023,GECE,A0002,KALPLI SOKET,11.50,4.170,BAYAN SOKET
 17.Feb.2023,GÜNDÜZ,A0008,3P-TENİS HAVLU,3.33,1.780,SOKET TENİS
