Tarih,Çalışma Grubu,İstasyon Adı,Sağlam(dz),Miktar (kg.),Ürün Grubu,Model Ad
 08.Jan.2023,GÜNDÜZ,A0033,9.08,3.630,BAYAN SOKET,DENIZ MAHSULLERİ
 22.Jan.2023,GECE,A0011,24.08,5.670,SNİCKERS,2023-2
 31.Jan.2023,GÜNDÜZ,A0016,10.50,3.640,KISA KONÇ,KISAKONC
 13.Feb.2023,GECE,A0017,15.00,0.000,BAYAN KISAKONC,DERBILI CEMBERLİ
 07.Jan.2023,GECE,A0022,26.33,9.580,BAYAN SOKET,2023-1
 27.Jan.2023,GECE,A0016,14.67,5.190,KISA KONÇ,KISAKONC
 10.Jan.2023,GECE,A0031,13.75,2.580,ÇETİK,3PK LOW CUT NO SHOW SOCKS
 23.Jan.2023,GÜNDÜZ,A0021,12.33,3.200,PATİK,CODE 3P.XX SHORT
 15.Jan.2023,GÜNDÜZ,A0027,22.75,7.290,BAYAN SOKET,MANTAR DESEN
 11.Jan.2023,GÜNDÜZ,A0010,8.92,2.960,BAYAN SOKET,DALMACYA RENKLI
 25.Jan.2023,GECE,A0016,14.92,4.730,PATİK,CODE 3P.XX SHORT
 15.Jan.2023,GÜNDÜZ,A0015,26.17,9.370,BAYAN SOKET,2023-1
 29.Jan.2023,GECE,A0009,25.33,7.680,KISA KONÇ,KISAKONC
 10.Feb.2023,GECE,A0027,19.75,6.970,BAYAN SOKET,PUNALI SOKET
 12.Feb.2023,GECE,A0031,23.83,4.150,ÇETİK,BUYUK  YILDIZ BABET
 20.Feb.2023,GÜNDÜZ,A0014,10.67,3.360,PATİK,CODE 3P.XX SHORT
 12.Jan.2023,GECE,A0034,14.00,0.000,ERKEK PATİK,CARERA PATİK
 30.Jan.2023,GECE,A0011,13.25,2.260,BAYAN BAMBU BABET,2023-3
 04.Jan.2023,GECE,A0003,31.75,11.270,BAYAN SOKET,3 LU DERBILI PURPLE/PINK
 23.Jan.2023,GECE,A0002,13.17,4.590,BAYAN SOKET,ÇİÇEKLI
 09.Jan.2023,GECE,A0023,15.67,5.620,BAYAN SOKET,2023-1
 05.Jan.2023,GÜNDÜZ,A0031,11.17,1.400,ÇETİK,3PK LOW CUT NO SHOW SOCKS
 09.Jan.2023,GECE,A0030,10.08,3.550,BAYAN SOKET,POLKA DOTA ANKLE BLUE
 08.Feb.2023,GÜNDÜZ,A0028,7.75,2.680,BAYAN SOKET,PUNALI SOKET
 18.Jan.2023,GÜNDÜZ,A0036,3.42,1.580,BAYAN SOKET,KÜÇÜK  KALP
 26.Jan.2023,GÜNDÜZ,A0001,10.75,3.060,KISA KONÇ,KISAKONC
 09.Feb.2023,GECE,A0026,3.00,0.000,BAYAN PATİK,KARE SIMLI PATİK
 14.Feb.2023,GÜNDÜZ,A0033,9.42,1.650,ÇETİK,ZIGZAG   BABET
 02.Jan.2023,GECE,A0021,11.58,4.230,BAYAN SOKET,FLORAL ANKLE
 04.Jan.2023,GECE,A0012,16.58,6.230,BAYAN SOKET,3 LU DERBI CEMBERLI 
 21.Feb.2023,GECE,A0015,15.08,4.770,PATİK,CODE 3P.XX SHORT
